proposition,auteur,age,votes,adhesion,engagement,score
Il faut proposer plus de produits locaux dans les cantines scolaires et les cantines d'entreprises,Juliette,,313,0.957625418060201,0.5069444444444442,1.464569862504645
Il faut privilégier l'agriculture locale et biologique en la rendant accessible à tous et taxer au contraire celle qui est intensive.,Alexandre,,411,0.898644688644689,0.5652173913043478,1.463862079949037
Il faut interdire les chalutiers géants et filets de pêches surdimensionnés dans les eaux internationales,Colin,33,428,0.914147157190635,0.549645390070923,1.463792547261558
"Il faut une réglementation forte sur les emballages et suremballages, contraignante pour les industriels et incitative pour le consommateur",Jérôme,44,325,0.931328903654485,0.531914893617021,1.463243797271506
Il faut favoriser les circuits courts et arrêter l'élevage industriel,Celine,,158,0.910336134453781,0.5526315789473689,1.46296771340115
Il faut laisser se développer la végétation dans les villes et favoriser les espaces urbains nourriciers,Matlum,,116,0.915175438596491,0.5471698113207553,1.4623452499172462
Il faut mettre en place des apprentissages sur les nouvelles pratiques agricoles (type permaculture etc...) dans les formations pro ,yanis,17,309,0.937766666666667,0.524475524475524,1.462242191142191
"Il faut inventer le « prix vert », qui reflète le vrai coût environnemental de notre consommation (fabrication, transports, déchets, etc.)",UFC-Que Choisir,,1649,0.976549429657795,0.4855212355212354,1.4620706651790303
Il faut promouvoir la production agro-écologique locale et les filières courtes d 'approvisionnement alimentaire,Louis,61,302,0.949413793103448,0.5124555160142343,1.4618693091176822
Il faut arrêter l'obsolescence programmée et investir dans les services de réparation (pièces de rechange).,Isabelle,39,402,0.937348993288591,0.524475524475525,1.461824517764116
Il faut accentuer les centres villes piétons afin de diminuer la pollution (sonore et gaz) et continuer le retour de la nature en ces lieux,Benjamin,,359,0.880302013422819,0.581481481481481,1.4617834949043
"Il faut plus réglementer la pêche intensive, interdire totalement le chalut profond. Forte entrave à la reconstitution des ressources en mer",Thomas,36,526,0.92752508361204,0.5338078291814954,1.4613329127935355
Il faut interdire tous les produits suremballés (fruits et légumes avec emballages abusifs) ,Hugues,,307,0.92752508361204,0.5335689045936398,1.46109398820568
Il faut soutenir massivement l'agriculture durable pour rendre ce secteur attractif aux reconversions professionnelles.,Gautier,,329,0.917491638795987,0.5431654676258995,1.4606571064218865
Il faut relocaliser la production des biens communs et vitaux,Olga,35,460,0.903141891891892,0.557195571955719,1.460337463847611
Il faut végétaliser les toits des immeubles et mieux les isoler pour des températures moins fortement ressenties et des économies d'énergie.,Sophie,,51,0.844333333333333,0.615384615384615,1.4597179487179481
"Il faut contrôler et interdire l'obsolescence programmée, et apprendre à réparer au lieu de jeter et racheter systématiquement.",Elvire,,313,0.927281879194631,0.5319148936170215,1.4591967728116524
Il faut développer l'agroécologie et les circuits courts,guillaume,,1171,0.946518771331058,0.5124555160142356,1.4589742873452936
Il faut créer des programmes ambitieux de sensibilisation voire d'apprentissage à la préservation de notre planète dès l'école primaire,Philippe,45,545,0.914147157190635,0.544483985765125,1.4586311429557601
"Il faut un système économique plus équitable, avec des investissements soumis à des exigences de protection de la vie et de l’environnement",Samia,,359,0.912131782945736,0.5458333333333336,1.4579651162790697
